Character,MBTI,Enneagram,Instinctual_Variant,Tritype,Socionics,Big_5,Attitudinal_Psyche,Temperament,Classic_Jungian
Angel Devil,INTP,5w4,sp/sx,594,SLI,RCUAN,LFEV,PM,IS(T)
Kobeni Higashiyama,ISFJ,6w5,sp/so,692,SEI,RLOAN,LEFV,M,IN(F)
William James Moriarty,INTJ,1w2,so/sx,154,ILI,RCOAI,VLEF,MC,ET(N)
Jean Kirstein,ESTJ,6w7,sp/so,361,LSE,SCOEN,FVLE,CS,ET(S)
Senku Ishigami,INTP,5w6,so/sp,538,ILE,SCOEI,LVFE,PC,IT(N)
Rock Lee,ENFJ,3w2,so/sx,368,SEE,SLOAI,VEFL,S,EF(S)
Dio Brando,ENTJ,3w4,so/sp,385,SLE,SCOEI,VLFE,C,ET(N)
Joseph Joestar,ESTP,7w8,sp/so,782,ILE,SCUAI,FVLE,SC,ES(T)
Yugi Tsukasa,ESFP,7w8,sx/sp,783,EIE,SCUEI,VLFE,SC,ES(F)
Kiyotaka Ayanokoji,INTJ,5w6,sp/so,593,ILI,RCOEI,LVFE,PM,IN(T)
Nezuko Kamado,ISFJ,9w1,so/sp,926,SEI,SCOAN,FEVL,P,IS(F)
Shigeo Kageyama,INFP,9w1,sp/so,962,EII,RCUAN,LEFV,P,IF(N)
Sugawara Koushi,INFJ,2w1,so/sx,962,EII,SCOAI,FVLE,PS,EF(S)
Yuno Gasai,INFJ,2w3,sx/sp,286,EIE,RLOEI,VEFL,MC,EF(S)
Meruem,INTJ,8w9,sx/so,854,LSI,RCOEI,VLEF,CM,ET(N)
Ash Lynx,ISTP,6w5,sx/sp,684,SLE,RLOEI,FLVE,MC,IT(S)
Subaru Natsuki,ENFP,7w6,sx/so,728,IEE,SLUAI,EVLF,S,EN(F)
Miya Osamu,INTP,9w8,sp/so,954,SLI,RCUEI,FLEV,P,IS(T)
Ai Hoshino,ENFJ,3w2,sx/so,379,ESE,SCOAI,FELV,S,EF(S)
Anya Forger,ENFP,7w6,sx/so,792,IEE,SCUAI,EFVL,S,EN(F)
Hori Kyouko,ESTJ,2w3,sx/so,268,ESE,SLOAN,EFVL,CS,EF(S)
Kento Nanami,ISTJ,1w9,sp/so,135,LSE,RCOEN,LFEV,P,ET(S)
Gaara,INFP,4w5,so/sp,469,IEI,RLOAI,ELVF,M,IF(N)
Hitohito Tadano,ENFJ,9w1,so/sp,962,EII,RCOAI,ELFV,PM,IS(F)
Kaidou Shun,INFP,4w3,so/sx,469,IEI,SLUAI,EVLF,MS,IN(F)
Yor Forger,ISFJ,9w1,sx/so,926,SEI,RLOAN,FELV,PM,IS(F)
Maki Zenin,ESTJ,8w9,sp/sx,136,LSI,SCOEN,VFEL,CP,ET(S)
Miku Nakano,INFP,4w5,sp/sx,495,ILI,RLUEI,ELVF,M,IN(F)
Kuronuma Sawako,ISFJ,9w1,so/sp,962,SEI,RCOAI,FELV,PM,IS(F)
Mio Chibana,INFP,6w7,sp/sx,629,ESE,SCUAI,EFVL,MS,IF(N)
Miyamura Izumi,INFP,6w7,sp/sx,692,ILI,RCUAI,LFEV,PM,IN(T)
Tamaki Amajiki,INFP,6w5,so/sp,469,IEI,RLUAI,ELVF,M,IN(F)
Suguru Geto,INTJ,1w2,so/sp,614,LII,RCOEI,LVEF,MC,IT(N)
